City,Country,Country ID,Longitude,Latitude,Temperature Max,Humidity,Cloudiness,Windspeed
Port Lincoln,AU,2063036,135.86,-34.72,25.65,63,8,3.72
Jatiroto,ID,1643920,109.46,-7.61,29.8,86,8,3.92
Lewistown,US,4899665,-90.15,40.39,10.0,66,90,3.6
Airai,TL,1651810,125.41,-8.93,27.2,60,36,1.17
Karak,JO,250625,35.7,31.18,12.0,71,40,3.1
Puerto Ayora,EC,3652764,-90.35,-0.74,26.67,93,36,2.47
Khandagayty,MN,1503796,92.07,50.73,9.9,56,76,1.52
Bluff,AU,2175403,149.07,-23.58,30.65,38,48,6.12
Tasiilaq,GL,3424607,-37.64,65.61,-4.0,92,0,5.1
Longyearbyen,NO,2729907,15.63,78.22,-12.0,85,90,3.1
Vao,EE,588365,26.19,59.1,2.0,74,0,3.12
Kyren,RU,2021031,102.13,51.68,1.55,65,88,0.72
Arica,CL,3899361,-70.32,-18.48,21.0,68,0,3.1
Mataura,NZ,6201424,168.86,-46.19,12.22,68,88,4.02
Kaitangata,NZ,2208248,169.85,-46.28,10.56,74,100,3.13
Henderson,US,5505411,-114.98,36.04,22.0,22,1,3.6
Erzincan,TR,315372,39.49,39.75,6.11,81,90,4.1
Severo-Kurilsk,RU,2121385,156.12,50.68,1.2,93,92,2.62
Kamenka,RU,553725,44.05,53.19,-0.11,97,92,6.37
Bredasdorp,ZA,1015776,20.04,-34.53,18.0,77,80,3.1
Muros,ES,3115824,-9.06,42.77,6.67,100,40,1.5
Sistranda,NO,3139597,8.83,63.73,2.78,93,40,1.5
Hilo,US,5855927,-155.08,19.71,24.0,69,75,3.6
Thompson,CA,6165406,-97.86,55.74,-14.0,65,40,1.0
Klyuchi,RU,1503153,79.17,52.25,10.7,60,8,3.02
Tabou,CI,2281120,-7.36,4.42,27.45,100,12,4.22
Darnah,LY,87205,22.64,32.77,15.1,100,8,2.92
Punta Arenas,CL,3874787,-70.91,-53.16,6.0,70,0,18.0
Kruisfontein,ZA,986717,24.73,-34.0,17.45,74,44,7.87
Nizhniy Tsasuchey,RU,2019118,115.13,50.52,4.05,27,48,12.57
Okahandja,NA,3354898,16.91,-21.98,17.0,72,0,1.5
Vila Velha,BR,6320062,-38.6,-3.71,25.0,94,75,1.0
Marsa Matruh,EG,352733,27.25,31.35,12.0,93,40,1.5
Farmington,US,5467328,-108.21,36.73,7.22,74,1,2.1
Kamaishi,JP,2112444,141.86,39.28,9.0,61,75,1.0
Kutum,SD,371745,24.66,14.2,19.7,19,0,4.12
Ushuaia,AR,3833367,-68.31,-54.81,4.0,91,75,1.0
Cavalcante,BR,3466594,-47.46,-13.79,19.75,90,8,1.22
Hobart,AU,2163355,147.33,-42.88,17.22,42,20,4.6
Rikitea,PF,4030556,-134.97,-23.12,24.5,100,0,8.17
Busselton,AU,2075265,115.35,-33.64,22.78,32,32,11.57
Gamba,CN,1281256,88.52,28.28,-1.91,73,56,3.42
Tigil,RU,2120612,158.67,57.8,2.6,83,56,7.12
Mahebourg,MU,934322,57.7,-20.41,27.78,88,40,3.52
Albany,US,5106834,-73.75,42.65,3.89,40,1,7.7
Bethel,US,5880568,-161.76,60.79,3.0,59,1,9.3
Yellowknife,CA,6185377,-114.38,62.45,-17.78,64,20,2.1
Kapaa,US,5848280,-159.32,22.08,26.0,60,20,5.7
Kodiak,US,4407665,-94.76,39.95,12.0,34,90,9.3
Atuona,PF,4020109,-139.03,-9.8,27.4,100,68,6.27
Vavuniya,LK,1225018,80.5,8.76,34.65,52,0,1.87
Freeport,BS,3572375,-78.7,26.54,23.45,100,44,6.37
Kodinsk,RU,1503037,99.18,58.6,0.3,46,76,3.02
Tuktoyaktuk,CA,6170031,-133.03,69.44,-20.0,83,75,4.1
Nishihara,JP,1850144,139.53,35.74,17.22,30,20,7.7
Esperance,TT,3573739,-61.45,10.24,24.44,88,20,3.1
Hidalgo,US,4697442,-98.26,26.1,22.22,88,1,3.1
Rancho Palos Verdes,US,5386035,-118.37,33.75,15.0,82,1,1.62
Port Hedland,AU,2063042,118.58,-20.31,36.0,37,0,4.1
Swan River,CA,6160362,-101.27,52.11,-4.11,58,24,2.52
Port Elizabeth,US,4501427,-74.98,39.31,12.22,57,1,2.1
Sao Miguel do Araguaia,BR,3448455,-50.16,-13.28,24.05,92,20,1.37
Constitucion,MX,4011743,-104.67,23.99,15.0,45,0,4.92
Tilichiki,RU,2120591,166.1,60.47,1.0,91,88,5.02
Ribeira Grande,PT,3372707,-28.7,38.52,14.95,100,8,9.57
Acajutla,SV,3587498,-89.83,13.59,24.44,78,68,1.27
Hermanus,ZA,3366880,19.24,-34.42,16.11,79,56,4.02
Florianopolis,BR,3463237,-48.55,-27.6,25.0,88,0,3.1
Ilulissat,GL,3423146,-51.1,69.22,-8.0,72,64,7.7
Pangnirtung,CA,6096551,-65.72,66.15,-22.81,32,0,1.32
Richards Bay,ZA,962367,32.06,-28.77,22.5,84,20,5.67
Rylsk,RU,695019,34.68,51.57,0.9,76,48,3.57
Balaipungut,ID,1650600,101.31,1.11,28.8,89,56,1.42
Neuquen,AR,3843123,-68.06,-38.95,13.1,86,88,6.42
Arraial do Cabo,BR,3471451,-42.02,-22.97,23.3,100,0,5.37
Narsaq,GL,3421719,-46.05,60.91,-5.0,41,0,4.1
Fortuna,ES,2517679,-1.13,38.18,14.0,66,40,3.6
Husavik,CA,5961417,-96.99,50.56,-3.89,67,0,4.27
Khatanga,RU,2022572,102.47,71.98,-5.71,92,76,4.67
Pevek,RU,2122090,170.27,69.7,-7.71,71,8,1.22
Irtyshskiy,RU,1505495,68.13,58.33,4.05,76,0,2.12
Teya,MX,3526662,-89.07,21.05,28.0,54,5,9.8
Sabha,LY,2212775,14.43,27.03,15.95,52,20,1.37
Senneterre,CA,6144195,-77.24,48.39,-8.0,61,1,5.7
Ballitoville,ZA,1021360,31.21,-29.54,20.56,88,0,2.6
Cape Town,ZA,3369157,18.42,-33.93,16.67,87,75,4.6
Ahuimanu,US,5856516,-157.84,21.44,26.0,78,90,4.6
Upernavik,GL,3418910,-56.15,72.79,-10.31,87,68,12.97
Bilibino,RU,2126682,166.44,68.06,0.4,81,0,1.02
Jamestown,AU,2069194,138.6,-33.21,26.75,35,0,3.87
Port Augusta,AU,2063056,137.76,-32.49,31.67,27,0,4.6
Cayenne,GF,3382160,-52.33,4.94,25.0,83,20,2.1
Chokurdakh,RU,2126123,147.9,70.62,-6.91,94,0,2.07
Pedro Carbo,EC,3653295,-80.24,-1.82,27.0,83,75,2.1
Victoria,BN,1733782,115.24,5.28,32.0,70,75,0.5
Araouane,ML,2460954,-3.53,18.9,21.8,33,8,2.52
Punta Umbria,ES,2565056,-6.97,37.18,8.33,66,0,2.24
Vostok,RU,2013279,135.83,46.45,5.65,51,68,1.27
New Norfolk,AU,2155415,147.06,-42.78,17.22,42,20,4.6
Mana,RS,789988,20.24,43.52,7.0,56,0,2.1
Cherskiy,RU,2126199,161.3,68.75,-2.21,71,0,0.87
Le Mars,US,4864337,-96.17,42.79,6.0,100,90,7.7
Qaanaaq,GL,3831208,-69.36,77.48,-9.96,81,80,5.02
Nuevo Progreso,US,3520271,-97.95,26.05,22.22,88,1,3.6
Saint-Philippe,CA,6138908,-73.48,45.36,1.0,82,90,11.8
Brigantine,US,4500920,-74.36,39.41,12.22,42,1,2.6
Port Alfred,ZA,964432,26.89,-33.59,19.44,66,12,1.34
Calvinia,ZA,3369174,19.78,-31.47,6.95,69,76,1.17
Jumla,NP,1283285,82.18,29.28,7.2,71,0,0.77
Kahului,US,5847411,-156.47,20.89,26.0,61,40,8.7
Izazi,TZ,158825,35.72,-7.24,21.9,82,12,1.62
Vaini,IN,1273574,74.49,15.34,34.2,34,12,2.07
Saint George,GR,262462,22.34,39.45,9.44,86,0,2.6
Aksu,KZ,1524298,76.93,52.04,12.0,62,0,4.0
Nelson Bay,AU,2155562,152.14,-32.72,23.0,60,75,4.6
Guayaramerin,BO,3915350,-65.36,-10.82,23.8,93,56,1.07
Nikolskoye,RU,546105,30.79,59.7,1.67,68,0,2.0
Kenai,US,5866063,-151.26,60.55,7.0,47,1,5.7
Butaritari,KI,2110227,172.79,3.07,25.05,100,92,1.42
Alexandria,US,4314550,-92.44,31.31,17.78,63,90,1.5
Barrow,AR,3833859,-60.23,-38.31,16.95,59,80,5.92
Genhe,CN,2037252,121.52,50.78,-1.71,74,80,5.42
Norman Wells,CA,6089245,-126.83,65.28,-17.0,64,20,2.1
Mar del Plata,AR,3863379,-67.52,-46.43,13.0,57,0,4.87
Jaguarari,BR,3460225,-40.2,-10.26,21.5,94,88,1.77
Gunjur,GM,2413419,-16.76,13.18,21.0,73,0,4.6
Cuenca,ES,3124132,-2.13,40.07,3.89,65,0,1.34
Bambous Virieux,MU,1106677,57.76,-20.34,27.78,88,40,3.52
Verkhoturye,RU,1487219,60.81,58.86,3.5,49,0,1.42
Medea,DZ,2488835,2.77,36.27,11.0,93,0,1.5
Medzilaborce,SK,724156,21.9,49.27,7.7,57,36,3.37
Mogadishu,SO,53654,45.34,2.04,29.0,70,75,5.7
Jinchang,CN,1805733,102.19,38.52,11.4,79,0,2.42
Hasaki,JP,2112802,140.83,35.73,18.89,22,20,3.6
Terra Santa,BR,3386467,-56.49,-2.1,26.15,86,36,2.02
Zakopane,PL,3080866,19.95,49.3,6.11,69,20,1.0
Estelle,US,4671240,-97.01,32.87,18.0,72,90,7.7
Cauas,RO,682522,22.55,47.57,9.0,45,0,3.1
Portland,US,5746545,-122.67,45.52,10.56,66,20,0.97
Gizo,IL,6693679,34.94,31.8,18.89,81,20,1.5
Khani,GE,610864,42.96,41.96,7.0,100,90,1.5
Svetlaya,RU,2015852,138.33,46.54,1.35,87,0,1.22
Lebu,ET,344979,38.73,8.96,14.0,82,75,2.1
Oyama,JP,1853483,139.8,36.31,19.44,17,20,5.1
Itamaraju,BR,3460826,-39.53,-17.04,21.3,92,12,1.42
Acapulco,MX,3533462,-99.88,16.86,27.0,74,5,2.6
Sao Filipe,CV,3374210,-24.5,14.9,20.55,100,12,7.52
Grindavik,IS,3416888,-22.43,63.84,5.0,100,75,1.0
Beaufort,MY,1733874,115.76,5.36,31.0,70,75,0.5
Manohar Thana,IN,1263648,76.8,24.24,38.8,21,0,3.47
Denpasar,ID,1645528,115.22,-8.65,28.0,88,75,6.2
Gazimurskiy Zavod,RU,2024122,118.33,51.55,0.5,55,68,5.02
Basco,US,4863349,-91.2,40.33,11.67,66,90,5.7
Castro,CL,3896218,-73.76,-42.48,9.0,76,75,9.3
Leningradskiy,RU,2123814,178.42,69.38,-13.21,81,0,7.22
Nanortalik,GL,3421765,-45.24,60.14,-1.21,100,0,4.67
Okato,NZ,2185763,173.88,-39.19,18.33,52,8,0.45
Talnakh,RU,1490256,88.39,69.49,-6.21,95,88,3.97
Vastseliina,EE,587450,27.29,57.73,-3.0,68,0,1.0
Itaporanga,BR,3397898,-38.15,-7.3,20.65,98,92,1.87
Moose Factory,CA,6078372,-80.61,51.26,-11.0,78,75,4.1
Vaitape,PF,4033077,-151.75,-16.52,29.4,98,8,3.22
Carnarvon,ZA,1014034,22.13,-30.97,8.8,29,0,1.37
Angoram,PG,2100765,144.07,-4.06,27.95,80,92,1.27
Sharjah,AE,292672,55.39,25.36,32.0,27,0,3.6
Kavieng,PG,2094342,150.8,-2.57,25.75,100,92,0.92
Ostrovnoy,RU,556268,39.51,68.05,-1.46,92,56,7.67
Libertador General San Martin,AR,3846915,-64.79,-23.81,17.5,92,36,0.87
Alice Springs,AU,2077895,133.88,-23.7,31.0,18,0,5.1
Torbay,CA,6167817,-52.73,47.66,3.89,100,90,12.9
Tiksi,RU,2015306,128.87,71.64,-0.61,79,80,4.62
Karpogory,RU,552256,44.44,64.0,1.65,68,12,2.92
Gornoye Loo,RU,823676,39.61,43.72,8.0,81,75,0.52
Faanui,PF,4034551,-151.75,-16.48,28.75,100,24,2.72
Iqaluit,CA,5983720,-68.52,63.75,-20.0,70,20,4.1
Half Moon Bay,US,5354943,-122.43,37.46,14.0,82,90,2.1
Russell,AR,3844421,-68.8,-33.01,21.0,49,0,1.5
Katobu,ID,1640972,122.53,-4.94,30.7,81,32,1.67
Verkhnevilyuysk,RU,2013639,120.31,63.45,3.4,63,48,1.87
Clyde River,CA,5924351,-68.59,70.47,-14.0,71,90,7.2
Skibbereen,IE,2961459,-9.27,51.55,4.0,86,75,5.7
Ahipara,NZ,2194098,173.16,-35.17,19.3,82,100,2.82
Ancud,CL,3899695,-73.83,-41.87,9.0,76,75,9.3
Vardo,US,4372777,-77.74,39.62,11.0,60,1,1.87
Manta,RO,685981,24.1,45.1,4.2,45,56,3.67
Kiama,AU,2161515,150.86,-34.67,21.67,68,75,4.6
Verkhnyaya Inta,RU,1487332,60.32,65.99,2.05,79,88,2.57
Lahat,ID,1638775,103.55,-3.78,27.8,98,48,2.27
Puri,ID,1635111,112.45,-7.54,31.0,70,40,3.1
Kavaratti,IN,1267390,72.64,10.57,29.5,100,0,1.57
Caravelas,BR,3466980,-39.27,-17.73,27.35,99,36,4.27
Komsomolskiy,RU,1486910,63.78,67.55,-1.11,96,88,5.92
Dandong,CN,2037886,124.37,40.12,19.1,36,0,6.57
Awjilah,LY,88533,21.3,29.14,13.45,52,24,4.62
Anahuac,US,4670707,-94.68,29.77,20.0,88,90,5.1
Aswan,EG,359792,32.9,24.09,20.0,22,0,2.6
Georgetown,GY,3378644,-58.16,6.8,24.0,94,20,2.1
Bucyrus,US,5148635,-82.98,40.81,9.44,65,90,1.87
Samarai,PG,2132606,150.67,-10.62,27.6,100,76,5.27
Sompeta,IN,1255816,84.6,18.93,36.05,43,8,2.67
Tevriz,RU,1489661,72.4,57.51,4.25,67,64,2.02
Wanning,AT,3220813,13.53,48.64,8.89,61,0,5.1
Sabanalarga,CO,3769988,-73.04,4.86,17.9,84,0,1.02
Gobo,JP,1863614,135.15,33.89,17.78,26,20,4.6
Klaksvik,FO,2618795,-6.59,62.23,3.0,99,92,3.1
Nyrob,RU,516588,56.73,60.74,0.3,85,0,2.42
Tommot,RU,2015179,126.27,58.97,2.8,58,48,1.57
Henties Bay,NA,3356832,14.28,-22.12,14.44,94,48,2.68
Taltal,CL,3870243,-70.49,-25.41,10.85,100,32,0.27
Lagos de Moreno,MX,4002224,-101.93,21.36,20.0,20,5,3.1
Okhotsk,RU,2122605,143.24,59.36,4.55,60,80,2.22
Amahai,ID,1651591,129.0,-3.31,28.0,100,20,5.67
Gonen,IL,173334,35.65,33.12,13.33,93,40,2.1
Luderitz,NA,3355672,15.16,-26.65,12.65,92,20,5.72
Saskylakh,RU,2017155,114.09,71.97,-1.16,94,44,4.57
Nakamura,JP,1856057,136.87,35.17,18.89,43,20,3.1
San Patricio,PY,3437029,-56.83,-26.98,22.8,95,88,2.02
Touros,BR,3386213,-35.46,-5.2,24.0,94,75,2.1
Margate,AU,2158744,147.26,-43.03,17.22,42,20,4.6
Dikson,RU,1507390,80.55,73.51,-5.06,100,88,8.07
Moerai,PF,4034188,-151.33,-22.43,25.05,100,88,6.67
Lodingen,NO,3147102,16.0,68.41,0.56,74,75,12.3
Medicine Hat,CA,6071618,-110.68,50.04,8.89,61,1,7.2
Rabo de Peixe,PT,3372745,-25.58,37.8,12.78,81,40,3.1
Okha,RU,2122614,142.95,53.59,0.25,97,88,8.87
Lieto,FI,648057,22.46,60.5,3.89,64,0,1.0
Preobrazheniye,RU,2017658,133.91,42.9,9.8,33,64,1.27
Geraldton,CA,5960603,-86.95,49.72,-9.0,56,20,2.1
Swellendam,ZA,950709,20.44,-34.02,18.0,77,68,3.1
Poopo,BO,3907685,-66.97,-18.38,5.5,100,64,4.57
Changji,CN,1790885,116.17,32.07,18.65,61,68,2.02
Cidreira,BR,3466165,-50.22,-30.17,20.5,95,0,1.22
Nakhon Phanom,LA,1608531,104.79,17.4,32.0,52,75,2.1
Ponta do Sol,BR,3453439,-46.0,-20.63,16.9,92,0,0.87
Buchanan,LR,2278158,-10.05,5.88,24.0,94,20,1.5
Rongcheng,CN,1786855,122.42,37.16,17.55,37,0,10.72
Karla,EE,590447,24.93,59.37,3.89,55,0,2.1
Baruun-Urt,MN,2032614,113.28,46.68,5.7,25,76,11.77
Katsuura,JP,1865309,134.5,33.93,16.11,44,20,5.1
Rudkobing,DK,2614432,10.71,54.94,7.22,87,32,5.7
Cabo San Lucas,MX,3985710,-109.91,22.89,23.89,60,5,4.1
Sur,OM,286245,59.53,22.57,27.8,79,0,0.22
Hambantota,LK,1244926,81.12,6.12,31.0,62,75,2.6
Bowmore,US,4486983,-79.3,34.94,13.0,66,1,1.5
Beringovskiy,RU,2126710,179.32,63.05,-1.46,94,92,8.62
Bukan,IR,139889,46.21,36.52,9.4,63,24,1.77
Antofagasta,CL,3899539,-70.4,-23.65,18.0,68,75,0.5
Durazno,UY,3442727,-56.52,-33.38,18.15,94,0,4.07
Banjar,ID,1650233,108.54,-7.37,28.85,66,92,1.87
Hithadhoo,MV,1282256,73.08,-0.6,27.3,100,56,2.22
Trairi,BR,3386177,-39.27,-3.28,26.3,100,88,3.17
Chuguyevka,RU,2025286,133.87,44.17,10.1,34,0,1.92
Deputatskiy,RU,2028164,139.9,69.3,-2.61,84,0,2.12
Smalininkai,LT,598655,22.58,55.07,3.2,59,0,7.27
Alvand,IR,119505,50.06,36.19,10.0,66,40,1.0
Namatanai,PG,2090021,152.44,-3.66,26.95,100,76,2.97
Hobyo,SO,57000,48.53,5.35,28.4,78,20,4.17
Grand Gaube,MU,934479,57.66,-20.01,27.78,88,40,4.27
Teluknaga,ID,1990589,106.64,-6.1,36.11,52,20,3.1
Codrington,AU,2160063,153.24,-28.95,27.0,44,92,6.2
Sinop,TR,739600,35.15,42.03,8.0,65,75,6.2
East London,ZA,1006984,27.91,-33.02,17.0,93,0,1.5
Chuy,UY,3443061,-53.46,-33.69,18.3,96,88,2.22
Fairbanks,US,5861897,-147.72,64.84,-5.0,38,1,7.7
Bonthe,SL,2409914,-12.5,7.53,25.6,88,20,2.02
Jam Sahib,PK,1403734,68.63,26.3,37.0,27,8,2.1
Saint-Augustin,FR,3031582,-0.61,44.83,5.0,93,24,3.6
Cairns,AU,2172797,145.77,-16.92,28.0,78,75,8.2
Porangatu,BR,3453014,-49.14,-13.44,23.0,90,56,1.32
Marzuq,YE,72181,46.47,14.4,23.3,52,56,1.62
Muncar,ID,1634718,114.34,-8.43,27.2,94,80,1.97
